date,temperature,humidity,season,time_of_day,num_people,num_children,appliance_count,weekend,energy_kWh
2024-01-01 00:00:00,5.9,37.5,Winter,Night,5,2,13,0,2.91
2024-01-01 04:00:00,-1.6,39.2,Winter,Night,6,2,18,0,6.19
2024-01-01 08:00:00,10.6,46.5,Winter,Morning,6,1,19,0,7.55
2024-01-01 12:00:00,2.2,45.8,Winter,Afternoon,4,0,14,0,5.28
2024-01-01 16:00:00,10.7,34.8,Winter,Afternoon,2,1,8,0,2.01
2024-01-01 20:00:00,2.4,41.6,Winter,Evening,1,0,6,0,3.26
2024-01-02 00:00:00,-0.2,46.3,Winter,Night,4,0,13,0,3.95
2024-01-02 04:00:00,1.2,37.7,Winter,Night,4,2,15,0,4.12
2024-01-02 08:00:00,6.7,32.4,Winter,Morning,5,2,13,0,6.34
2024-01-02 12:00:00,11.7,30.0,Winter,Afternoon,7,4,20,0,4.6
2024-01-02 16:00:00,4.6,46.5,Winter,Afternoon,5,1,14,0,4.86
2024-01-02 20:00:00,9.3,37.7,Winter,Evening,8,4,20,0,12.44
2024-01-03 00:00:00,-2.1,43.6,Winter,Night,6,4,14,0,4.38
2024-01-03 04:00:00,-0.6,38.8,Winter,Night,5,0,13,0,4.18
2024-01-03 08:00:00,6.9,33.1,Winter,Morning,7,2,20,0,10.09
2024-01-03 12:00:00,10.0,33.1,Winter,Afternoon,9,4,20,0,5.67
2024-01-03 16:00:00,10.3,31.7,Winter,Afternoon,3,1,9,0,2.4
2024-01-03 20:00:00,-1.5,46.2,Winter,Evening,8,4,20,0,21.65
2024-01-04 00:00:00,2.1,48.3,Winter,Night,4,0,16,0,4.01
2024-01-04 04:00:00,1.5,41.2,Winter,Night,3,1,10,0,3.08
2024-01-04 08:00:00,3.5,32.9,Winter,Morning,8,4,20,0,15.53
2024-01-04 12:00:00,3.6,42.9,Winter,Afternoon,3,1,9,0,3.54
2024-01-04 16:00:00,10.3,44.7,Winter,Afternoon,8,4,20,0,5.14
2024-01-04 20:00:00,4.9,44.9,Winter,Evening,6,2,16,0,11.47
2024-01-05 00:00:00,-1.3,41.7,Winter,Night,8,4,20,0,6.0
2024-01-05 04:00:00,-5.8,42.1,Winter,Night,5,1,14,0,5.86
2024-01-05 08:00:00,9.8,38.4,Winter,Morning,4,2,15,0,6.46
2024-01-05 12:00:00,6.6,45.7,Winter,Afternoon,6,1,20,0,5.77
2024-01-05 16:00:00,8.3,42.8,Winter,Afternoon,4,2,13,0,3.48
2024-01-05 20:00:00,-2.2,40.2,Winter,Evening,5,4,17,0,19.51
2024-01-06 00:00:00,5.0,37.9,Winter,Night,6,1,14,1,4.21
